Заказчик;Лоты;Сумма, планируемая для закупки, тенге;Способ;Статус;Код закупки;Наименование;Дата начала;Дата окончания;link
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;31 224 048.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433440;дыхательный аппарат с манометром;17.04.2025 09:00:00;02.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433440
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;203 750.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434185;Техническое обслуживание компрессора для закачки воздуха ВДА.;28.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434185
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;79 776 990.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434050;Спуск подземного оборудования при подземном ремонте скважин на месторождении Кенкияк-надсолевой;25.04.2025 09:00:00;28.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434050
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;1 462 200.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434148;Полированный шток с зажимами (среди ОТП);26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434148
"Акционерное общество ""СНПС-Актобемунайгаз""";3.0;22 122 220.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434033;Клапаны, Задвижки для остановочного капитального ремонта ГПЗ;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434033
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;2 225 000.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434135;Ремонт, поверка универсальных газоанализаторов ГАНК-4;26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434135
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;4 981 097.32;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434134;«Техническое обслуживание, освидетельствование, ремонт и замена узлов снаряжения оборудования, СИЗ ПАСС м.р.Кенкияк»;26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434134
"Акционерное общество ""СНПС-Актобемунайгаз""";5.0;64 335 053.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-433281;Автотранспортные услуги для ОНГДУ и КНГДУ АО «СНПС – Актобемунайгаз»;16.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/433281
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;191 952.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434100;Взрывозащищенная коробка;26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434100
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;17 125 892.86;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434088;Замена трубопровода технической воды д-108х6мм (район КСВД до УДН) ГПЗ-1;26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434088
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;14 100 996.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434076;Проведение освидетельствования и экспертной оценки технического состояния техники, отработавшей нормативный срок, согласно паспортным данным;26.04.2025 09:00:00;15.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434076
"Акционерное общество ""СНПС-Актобемунайгаз""";2.0;2 828 228.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434068;Арматол-238 (среди ОТП);25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434068
"Акционерное общество ""СНПС-Актобемунайгаз""";1.0;21 181 524.00;Открытый конкурс на понижение (электронные торги);"Опубликован
Объявление";2025.ЭТ-434075;Услуги ПРС для освоения 11 скважин после бурения на м/р Кенкияк-надсолевое на 2025год;25.04.2025 09:00:00;14.05.2025 09:00:00;https://www.reestr.nadloc.kz/ru/tender/view/434075
